listentry,name,grade,regdate,amenddate,legacyuid,capturesca,area_ha,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
1000144,PRIOR PARK,I,04/30/1987 12:00:00 AM,,1041,1:10000,22.9339970003,"(51.36584, -2.3435)",33,110,558,12,1
1000536,KELSTON PARK,II*,04/30/1987 12:00:00 AM,,1519,1:10000,92.9146849011,"(51.39625, -2.43024)",1,25,50,10,1
1000548,CROWE HALL,II,08/08/1991 12:00:00 AM,,1533,1:1250,3.00417196518,"(51.37386, -2.346)",33,110,558,12,1
1000563,LANSDOWN CEMETERY AND BECKFORD'S TOWER,II,04/30/1987 12:00:00 AM,,1550,1:2500,2.63086377341,"(51.40549, -2.37702)",21,1,233,7,1
1000564,CLAVERTON MANOR,II,04/30/1987 12:00:00 AM,,1552,1:10000,26.8994964356,"(51.3756, -2.31111)",1,27,49,10,1
1000567,NEWTON PARK,II*,04/30/1987 12:00:00 AM,,1555,1:10000,186.300307098,"(51.37715, -2.43776)",9,28,68,22,1
1000568,ST CATHERINE'S COURT,II*,04/30/1987 12:00:00 AM,,1556,1:10000,4.82256726635,"(51.42952, -2.31983)",1,25,34,10,1
1000571,WIDCOMBE MANOR,II,04/30/1987 12:00:00 AM,,1559,1:2500,3.4194497328,"(51.37309, -2.34813)",33,110,558,12,1
1001257,Royal Victoria Park,I,06/26/1992 12:00:00 AM,08/28/2013 12:00:00 AM,2272,1:10000,22.466356609,"(51.38683, -2.37299)",34,115,205,9,1
1001258,SYDNEY GARDENS,II,06/25/1992 12:00:00 AM,,2273,1:1250,5.38858019514,"(51.38638, -2.34941)",22,30,74,12,1
1001351,ABBEY CEMETERY,II*,09/20/1996 12:00:00 AM,,2779,1:1250,2.05420963507,"(51.37113, -2.34824)",33,110,575,12,1
1001623,HEDGEMEAD PARK,II,06/19/2002 12:00:00 AM,,5121,1:1250,2.1793245686,"(51.38899, -2.36001)",21,59,245,7,1
1001630,"PARADE GARDENS, BATH",II,06/28/2002 12:00:00 AM,,5128,1:1250,1.07551922771,"(51.38145, -2.35679)",35,21,3,7,1
1001703,GARDENS AT OAKWOOD/BATHWICK TOWER AND SMALLCOMBE HOUSE,II,09/16/2008 12:00:00 AM,,5338,1:1250,2.48010591194,"(51.3772, -2.33608)",22,29,583,12,1
